Pattern,Distance (cm),Magnetic Field (T),Pressure (Pa),Version,Element,Mean Charge State,Average Potential Energy (eV),Average Kinetic Energy (eV),Avg Energy (≤60 eV) Al+,Avg Energy (≤60 eV) Al++,Avg Energy (≤60 eV) Al+++,Kinetic Energy Al+,Kinetic Energy Al++,Kinetic Energy Al+++,Avg Energy (≤60 eV) Ti+,Avg Energy (≤60 eV) Ti++,Avg Energy (≤60 eV) Ti+++,Avg Energy (≤60 eV) Ti++++,Kinetic Energy Ti+,Kinetic Energy Ti++,Kinetic Energy Ti+++,Kinetic Energy Ti++++,Avg Energy (≤60 eV) N+,Kinetic Energy N+,Avg Energy (≤60 eV) N₂+,Kinetic Energy N₂+
10cm-0.15t-n-0,10,0.15,0,,Al,1.78261766586588,20.3342991619686,14.8247873549586,13.5975316074654,12.8665302911094,21.4013742926435,13.7023344354273,13.6817671284163,37.5170866413531,,,,,,,,,,,,
10cm-0.15t-n-0,10,0.15,0,,Ti,2.507988004642,32.5505492060597,28.9271047644641,,,,,,,24.3863636363636,26.9347387871661,25.0834036209568,28.0035971223022,24.3863636363636,27.4998441687964,30.0583435481805,45.0785185185185,,,,
10cm-0.15t-n-0,10,0.15,0,,N,1,11.62728,0.5,,,,,,,,,,,,,,,0.5,0.5,,
10cm-0.15t-n-0,10,0.15,0,,N₂,1,12.464,1,,,,,,,,,,,,,,,,,1,1
14cm-0.15t-n-0.1,14,0.15,0.1,,Al,1.41699309777725,14.6538187330434,23.545415086369,18.3439763850576,24.7025062107263,30.5226638023631,18.6051922039904,30.5463706557067,40.9349078341014,,,,,,,,,,,,
14cm-0.15t-n-0.1,14,0.15,0.1,,Ti,2.38127252290089,30.5373818676969,38.4326722321624,,,,,,,27.9528744140143,28.5360314692405,35.9478534604681,40.7852760736196,29.0504343629344,31.0807628914528,47.1623488773748,77.8015665796345,,,,
14cm-0.15t-n-0.1,14,0.15,0.1,,N,1,11.62728,23.6046136101499,,,,,,,,,,,,,,,19.3221643087615,23.6046136101499,,
14cm-0.15t-n-0.1,14,0.15,0.1,,N₂,1,12.464,29.2142969693786,,,,,,,,,,,,,,,,,21.007217176881,29.2142969693786
14cm-0.25t-n-0.3,14,0.25,0.3,,Al,1.36204744932446,13.632266930851,19.5266040660316,10.2460190017396,18.0888936260925,42,10.6717679153636,35.1307146237577,42,,,,,,,,,,,,
14cm-0.25t-n-0.3,14,0.25,0.3,,Ti,1.72097602468151,19.2999351020089,16.5994861321954,,,,,,,12.8943911066195,14.0565092989986,24.2073732718894,26.1224489795918,14.2676266137041,15.7980938933992,29.8933333333333,49.4,,,,
14cm-0.25t-n-0.3,14,0.25,0.3,,N,1,11.62728,14.9308139534884,,,,,,,,,,,,,,,10.9520295202952,14.9308139534884,,
14cm-0.25t-n-0.3,14,0.25,0.3,,N₂,1,12.464,18.6507500735366,,,,,,,,,,,,,,,,,10.8631578947368,18.6507500735366
10cm-0.15t-n-0.1,10,0.15,0.1,,Al,1.63372557471211,17.9316986545059,21.6869505047414,15.7489145212929,19.1958726827562,25.7618644067797,16.1301008161306,24.8312389507382,35.1172985781991,,,,,,,,,,,,
10cm-0.15t-n-0.1,10,0.15,0.1,,Ti,2.51612591438508,32.9983090714223,37.7376627822038,,,,,,,21.8120104438642,29.8062877103843,35.74219069704,38.5945945945946,23.6743002544529,31.3695347751673,43.2955116696589,62.3048327137547,,,,
10cm-0.15t-n-0.1,10,0.15,0.1,,N,1,11.62728,16.9082926829268,,,,,,,,,,,,,,,14.9969879518072,16.9082926829268,,
10cm-0.15t-n-0.1,10,0.15,0.1,,N₂,1,12.464,24.9567977067977,,,,,,,,,,,,,,,,,19.5631849698054,24.9567977067977
20cm-0.25t-n-0,20,0.25,0,,Al,1.8630926573741,21.5702991003084,15.3657345260418,15.5880849039776,12.5498354714102,23.2695978720075,15.6278226764916,13.4257840215695,43.4634445200817,,,,,,,,,,,,
20cm-0.25t-n-0,20,0.25,0,,Ti,2.44728244605709,31.254073547118,51.5021839755503,,,,,,,35.5375335120644,28.0912364945978,31.7824095281722,25.2961373390558,37.6679438058748,30.7378656033314,76.8314669032043,99.3456032719836,,,,
20cm-0.25t-n-0,20,0.25,0,,N,1,11.62728,19.431011826544,,,,,,,,,,,,,,,19.1701846965699,19.431011826544,,
20cm-0.25t-n-0,20,0.25,0,,N₂,1,12.464,14.9721393034826,,,,,,,,,,,,,,,,,11.1914672216441,14.9721393034826
10cm-0.25t-n-0.2,10,0.25,0.2,,Al,1.30730649833588,12.8143240505526,27.4861369695808,13.5678534200022,20.0465791081246,22.9358974358974,16.3909070866913,52.6529622980252,34.3095238095238,,,,,,,,,,,,
10cm-0.25t-n-0.2,10,0.25,0.2,,Ti,1.83279366306803,20.8223750731455,31.6246274990582,,,,,,,19.9400433421623,20.8036406755761,28.2853414528056,39.2898368883312,28.0340471092077,30.2374783595009,46.0364277320799,76.0261295590637,,,,
10cm-0.25t-n-0.2,10,0.25,0.2,,N,1,11.62728,25.2224007344503,,,,,,,,,,,,,,,14.7474666666667,25.2224007344503,,
10cm-0.25t-n-0.2,10,0.25,0.2,,N₂,1,12.464,40.0171540870029,,,,,,,,,,,,,,,,,14.8426922324398,40.0171540870029
20cm-0.25t-n-0.3,20,0.25,0.3,,Al,1.21156692475991,11.3654062742736,0,15.0764782216204,24.8413955479452,0,15.9011966861,55.3661688202719,0,,,,,,,,,,,,
20cm-0.25t-n-0.3,20,0.25,0.3,,Ti,1.60633679928451,19.0498890575123,25.1657286530757,,,,,,,18.5217489294568,20.2069400630915,29.2538860103627,34.119587628866,20.3971039929794,25.2213510253317,64.271186440678,53.2789115646259,,,,
20cm-0.25t-n-0.3,20,0.25,0.3,,N,1,11.62728,20.9520958083832,,,,,,,,,,,,,,,15.8674568965517,20.9520958083832,,
20cm-0.25t-n-0.3,20,0.25,0.3,,N₂,1,12.464,21.285127557065,,,,,,,,,,,,,,,,,14.4375054286459,21.285127557065
10cm-0t-n-0.3,10,0,0.3,,Al,1.08857997142775,9.52190370629697,23.4704882015516,11.2282498505368,14.5806694245957,0,17.2746175159619,89.2307059065651,9.41860465116279,,,,,,,,,,,,
10cm-0t-n-0.3,10,0,0.3,,Ti,1.95485492913404,22.7735823648872,31.6297120756156,,,,,,,14.66880486158,11.7848420627712,18.1321100917431,18.6491228070175,20.3344860106885,28.3129804718565,48.780694980695,119.173469387755,,,,
10cm-0t-n-0.3,10,0,0.3,,N,1,11.62728,50.2020256649786,,,,,,,,,,,,,,,30.5860757642241,50.2020256649786,,
10cm-0t-n-0.3,10,0,0.3,,N₂,1,12.464,41.6501924970902,,,,,,,,,,,,,,,,,15.3552545904415,41.6501924970902
10cm-0t-n-0,10,0,0,,Al,1.65671418982082,18.3555655078765,29.0875066681521,14.4306442689735,16.6517252163036,20.7290854916342,16.3399955857469,33.701298533497,87.4095595126523,,,,,,,,,,,,
10cm-0t-n-0,10,0,0,,Ti,2.64777298592486,36.0029847104688,78.9167706504631,,,,,,,17.3877551020408,23.329610773526,24.5506542720114,28.0726698262243,19.0111111111111,41.095132901019,102.185208546874,102.675496688742,,,,
10cm-0t-n-0,10,0,0,,N,1,11.62728,0.333333333333333,,,,,,,,,,,,,,,0.333333333333333,0.333333333333333,,
10cm-0t-n-0,10,0,0,,N₂,1,12.464,0.148325358851675,,,,,,,,,,,,,,,,,0.148325358851675,0.148325358851675
10cm-0.25t-n-0.1,10,0.25,0.1,,Al,1.52645102529052,16.331084147865,36.1758035317279,19.4757203621258,22.23288950121,26.3121951219512,20.824588485725,49.9814209264221,79.1925433222475,,,,,,,,,,,,
10cm-0.25t-n-0.1,10,0.25,0.1,,Ti,2.4979603144463,33.0303500628464,60.4836366077508,,,,,,,29.3907174275747,31.8372008372008,37.4234292289988,41.5880469583778,32.8964530892449,40.8211571209038,74.9548587686622,164.068986757006,,,,
10cm-0.25t-n-0.1,10,0.25,0.1,,N,1,11.62728,28.5833457028351,,,,,,,,,,,,,,,20.9603952035129,28.5833457028351,,
10cm-0.25t-n-0.1,10,0.25,0.1,,N₂,1,12.464,41.614964160186,,,,,,,,,,,,,,,,,24.4190127485203,41.614964160186
10cm-0.25t-n-0.3,10,0.25,0.3,,Al,1.06830655363084,9.20776433195187,11.5477753610666,7.39720683699601,16.7008153878319,15,8.83692438303229,48.5597677044685,15,,,,,,,,,,,,
10cm-0.25t-n-0.3,10,0.25,0.3,,Ti,1.67679796743608,19.2560930130054,19.5232290780079,,,,,,,14.085327532028,11.9862298415046,20.8032010820559,25.3633572159672,20.6331620448303,14.3424707270582,33.3008147064968,55.0243055555556,,,,
10cm-0.25t-n-0.3,10,0.25,0.3,,N,1,11.62728,25.919099756691,,,,,,,,,,,,,,,14.280307654743,25.919099756691,,
10cm-0.25t-n-0.3,10,0.25,0.3,,N₂,1,12.464,29.5403423426694,,,,,,,,,,,,,,,,,12.3240832736431,29.5403423426694
10cm-0.25t-n-0,10,0.25,0,2,Al,2.06724254620797,25.5389795095214,39.9901895643766,22.6592106678137,22.7404788232571,27.0334276163538,23.5273420941077,30.8839372935758,89.8238203658632,,,,,,,,,,,,
10cm-0.25t-n-0,10,0.25,0,2,Ti,2.7466033104966,37.9723681285728,72.3124608814934,,,,,,,28.7576126674787,31.2423285046886,27.429248963791,30.392131147541,30.228028503563,33.8949351872909,83.4452814195299,179.820184880334,,,,
10cm-0.25t-n-0,10,0.25,0,2,N,1,11.62728,17.477503628447,,,,,,,,,,,,,,,17.1413994169096,17.477503628447,,
10cm-0.25t-n-0,10,0.25,0,2,N₂,1,12.464,12.7043443813548,,,,,,,,,,,,,,,,,10.9478378378378,12.7043443813548
10cm-0t-n-0.1,10,0,0.1,,Al,1.23766102096161,11.8111709006046,17.0061792106475,11.2528606376263,14.0872458013629,17.9103260869565,16.1579994792248,19.6193864398041,26.809585492228,,,,,,,,,,,,
10cm-0t-n-0.1,10,0,0.1,,Ti,2.2534886784369,27.9924959392379,48.2404052944485,,,,,,,19.4241893076249,23.9481813652217,28.3102303787583,33.822009569378,41.6148521082442,41.8116998468606,62.0966929133858,83.0352771778258,,,,
10cm-0t-n-0.1,10,0,0.1,,N,1,11.62728,36.7098696461825,,,,,,,,,,,,,,,21.4448843839088,36.7098696461825,,
10cm-0t-n-0.1,10,0,0.1,,N₂,1,12.464,28.7543981280874,,,,,,,,,,,,,,,,,14.7696793002915,28.7543981280874
10cm-0t-n-0.3,10,0,0.3,,Al,1.27724775196743,12.364321172634,38.0337965356219,10.7649169715733,13.7210179076343,1.11627906976744,19.6537952755906,86.5959271168275,9.27272727272727,,,,,,,,,,,,
