Sample,"p(N2), Pa","Mass density, g/cm^3","Thickness, nm","Roughness, nm",
,,,,,
,,+-0.2 uncertainty,,not super precise,
,,,,,
PJ_TiAl_010q,0,4,63,0.9,--
PJ_TiAl_011q,0.3,4.65,45.5,1,--
PJ_TiAl_011i,0.3,4.65,39,1.2,--
PJ_TiAl_012q,0.1,4.85,41,1,--
PJ_TiAl_013q,0.1,4.8,46.5,0.5,
PJ_TiAl_014q,0.2,4.8,42,1,
,,,,,
PJ_TiAl_010i,0,4,58,1.2,small thickness gradient
PJ_TiAl_012i,0.1,4.75,35,1.3,small thickness gradient
PJ_TiAl_013i,0.1,4.75,38,1,more noticeable gradient
PJ_TiAl_014i,0.2,4.75,34.5,1.5,small thickness gradient
