Pattern,Distance (cm),Magnetic Field (T),Pressure (Pa),Version,Element,Mean Charge State,Std Charge State,Average Potential Energy (eV),Std Potential Energy (eV),Average Kinetic Energy (eV),Std Kinetic Energy (eV),Kinetic Energy Al+,Std Kinetic Energy Al+,Kinetic Energy Al++,Std Kinetic Energy Al++,Kinetic Energy Al+++,Std Kinetic Energy Al+++,Kinetic Energy Ti+,Std Kinetic Energy Ti+,Kinetic Energy Ti++,Std Kinetic Energy Ti++,Kinetic Energy Ti+++,Std Kinetic Energy Ti+++,Kinetic Energy Ti++++,Std Kinetic Energy Ti++++,Kinetic Energy N+,Std Kinetic Energy N+,Kinetic Energy N₂+,Std Kinetic Energy N₂+
10cm-0.15t-n-0.3v2,10,0.15,0.3,2,Al,1.37142081655414,0.484631715399106,13.778642174465,7.32082739091219,15.9052120931807,3.71053530118675,13.081600763922,10.6050583377829,20.7327618967192,13.5916270135792,2.40875912408759,7.79814196897288,,,,,,,,,,,,
10cm-0.15t-n-0.3v2,10,0.15,0.3,2,Ti,1.74771495831638,0.649529290174118,19.7647860453476,11.602291528243,18.507279085299,4.09980098592846,,,,,,,21.9573323771961,13.476829278888,15.2850070721358,12.063714109918,26.7934347477982,13.3836266423428,30.5561312607945,15.9199707157076,,,,
10cm-0.15t-n-0.3v2,10,0.15,0.3,2,N,1,0,11.62728,0,28.0025542784164,0,,,,,,,,,,,,,,,28.0025542784164,18.4210663264768,,
10cm-0.15t-n-0.3v2,10,0.15,0.3,2,N₂,1,0,12.464,0,23.4031445927947,0,,,,,,,,,,,,,,,,,23.4031445927947,17.6718463968176
10cm-0.15t-n-0.3v4,10,0.15,0.3,4,Al,1.49079192082228,0.500637151191664,15.5740959007399,7.55078711400075,21.2147103823034,3.85423926618431,17.4438235931979,11.7933835803608,25.1437619644081,14.0316418560123,10.1931818181818,17.3315647109711,,,,,,,,,,,,
10cm-0.15t-n-0.3v4,10,0.15,0.3,4,Ti,1.64836683586861,0.67770795981779,18.661610655817,11.2575885696368,21.057904086939,3.85522778533833,,,,,,,24.4725630538514,12.4915553114408,16.8664719936289,14.46010811448,25.368,14.592991452386,24.241469816273,19.6147799526351,,,,
10cm-0.15t-n-0.3v4,10,0.15,0.3,4,N,1,0,11.62728,0,25.5070563395933,0,,,,,,,,,,,,,,,25.5070563395933,17.8811975709714,,
10cm-0.15t-n-0.3v4,10,0.15,0.3,4,N₂,1,0,12.464,0,20.7384116229692,0,,,,,,,,,,,,,,,,,20.7384116229692,15.6073827817398
10cm-0.15t-n-0.3v3,10,0.15,0.3,3,Al,1.43609753171053,0.496494150241543,14.7497359036353,7.48690528296152,19.8114127022982,4.08138565837467,16.2297481320087,11.4477573501034,24.4571075486595,14.7404782280918,11.4406779661017,18.0632328003981,,,,,,,,,,,,
10cm-0.15t-n-0.3v3,10,0.15,0.3,3,Ti,1.66662338767809,0.670445504102231,18.8368556812376,11.1185508715919,21.4970643813189,3.1433612926004,,,,,,,24.1927489272266,12.8502280706884,18.2833891814265,13.5014652728778,25.0236537493709,14.9518584665019,29.6026936026936,17.371085329913,,,,
