Distance (cm)	Magnetic Field (T)	Pressure (Pa)	Mean Charge Al	Mean Charge std Al	Mean Charge Ti	Mean Charge std Ti	Mean Charge N	Mean Charge std N	Mean Charge N2	Mean Charge std N2	Al ratio from massspec	Ti ratio from massspec	N ratio from massspec	N2 ratio from massspec	Effective Molar Mass (g/mol)	Overall Mean Charge State	Over Mean Charge State std	Mass (g) of 64 pulses	Mass std (g)	Ion Current (A)	Ion Current Std (A)	Mass Flux (μg/cm²/s)	Mass Flux std (μg/cm²/s)	Ion Flux (μg/cm²/s)	Ion Flux std (μg/cm²/s)	Atomic Flux (atoms/cm²s)	Atomic Flux std (atoms/cm²s)	Ion Flux (atoms/cm²s)	Ion Flux std (atoms/cm²s)	% difference between fluxes		
10	0.15	0	1.78261766586588	0.515344082596269	2.507988004642	0.532908525692224	1	0	1	0	0.259568436226662	0.74010061923104	1.00286224938938E-05	0.0003209159198046	42.5423035476792	2.31920569972069	0.416472884131222	7.64399662218608E-07	5.6443807e-10	0.00533335740714357	0.00362996145723776	23.875	0.0000176386896875	16.46114078044	11.2036944111654	1.09855E+17	2.4770E+14	7.32390724540986E+016	5.15534293264933E+016	60.0027526657494		
14	0.15	0.1	1.41699309777725	0.541812514812168	2.38127252290089	0.639391294429304	1	0	1	0	0.627134915167827	0.262310572484177	0.0119761581571245	0.0985783541908718	32.451410320316	1.6238333172389	0.378928265725137	3.19678907686589E-07	5.6443807e-10	0.00274968946448211	0.00176809558307544	9.98996586520591	0.0000176386896875	6.47374314616274	4.16272339496748	6.02286E+16	3.2472E+14	5.39291553949914E+016	3.6890235984171E+016	88.9636619876729		Note:
14	0.25	0.3	1.36204744932446	0.480647221744518	1.72097602468151	0.637747400133151	1	0	1	0	0.14	0.474	0.386	0	31.877609	1.39242927860446	0.309691203335861	4.98455258729835E-07	5.6443807e-10	0.00414100215491902	0.00141210635914201	15.5767268353073	0.0000176386896875	9.19236877006315	3.13465241266904	9.56010E+16	1.0826E+14	9.47139015299087E+016	3.85604925249E+016	99.067719210193		Inserted ratios for 14cm from EDX
10	0.15	0.1	1.63372557471211	0.534808713104045	2.51612591438508	0.575390804370209	1	0	1	0	0.728099938637968	0.188212200625791	0.0084798418707125	0.075208018865528	30.9174262876879	1.7467689468334	0.404172941339825	7.20975560141608E-07	5.6443807e-10	0.00462131590440376	0.00288750682715873	22.5	0.0000176386896875	10.3659051332918	6.47686123632823	1.42574E+17	3.4083E+14	8.42580902335026E+016	5.61403373626261E+016	48.5825187351936		added factors for discrepancy between the 2 positions
20	0.25	0	1.8630926573741	0.468835851335993	2.44728244605709	0.536463835451855	1	0	1	0	0.461836839952989	0.527696551572498	0.0029669742796112	0.0074996341949011	38.0505565515824	2.16233394140402	0.356403393225228	1.95069796659857E-07	5.6443807e-10	0.00305895423340332	0.00113460671059507	6.09593114562053	0.0000176386896875	8.44446678061573	3.13216476796516	3.13438E+16	2.7694E+14	4.505382116949E+016	1.82867144231263E+016	135.891330547643		changed the area in AA and AC to reflect the actual areas
10	0.25	0.2	1.30730649833588	0.463292090448114	1.83279366306803	0.628551014705841	1	0	1	0	0.658210169694596	0.237822593970581	0.0087303974953213	0.0952368388395026	31.9760161447825	1.40032941161101	0.339611446488436	1.1274838574469E-06	5.6443807e-10	0.00645936931652419	0.0021742746659727	35.25	0.0000176386896875	14.9848606814741	5.04402231182404	2.15580E+17	3.2955E+14	1.46906605062665E+017	6.09480172137259E+016	62.1099040023176		changed ratios from edx for the 14 cm datapoints
20	0.25	0.3	1.21156692475991	0.408419344678415	1.60633679928451	0.781654663486338	1	0	1	0	0.632195086513877	0.173904775854825	0.0075181611860402	0.186381976445258	30.7406461739781	1.23919643547417	0.291797042011578	2.41146757675455E-07	5.6443807e-10	0.00291671260075735	0.00100575030818001	7.53583617735797	0.0000176386896875	6.50496357317154	2.24306265784233	4.79613E+16	3.4279E+14	7.49609184856221E+016	3.1300156249583E+016	143.929676027579		
10	0	0	1.65671418982082	0.547275044617605	2.64777298592486	0.568578053291173	1	0	1	0	0.761766950910463	0.236065175305354	1.54480317162742E-05	0.0021524257524675	31.9593202827526	1.88924498478522	0.437969993246783	0.0000003415478	5.6443807e-10	0.00204889468294464	0.0009093751819154	11.375	0.0000176386896875	4.75067595776542	2.10852556223397	6.53395E+16	3.2972E+14	3.45392397747332E+016	1.72949199417667E+016	38.3246275952998		
10	0	0.3	1.27724775196743	0.450411655255956	2.07046409898039	0.574247581410137	1	0	1	0	0.384933693678018	0.273674108040132	0.136982984035083	0.204409214246767	31.1707866906334	1.39968030870619	0.234005071060334	2.16819476909126E-07	5.6443807e-10	0.00090496147565675	0.000561682497178415	6.75	0.0000176386896875	2.0465204730949	1.27021399338627	4.25278E+16	3.3806E+14	2.059124735765E+016	1.32358968004293E+016	30.4915430658999		
10	0.25	0	2.06724254620797	0.511982472479904	2.7466033104966	0.500115347055521	1	0	1	0	0.272637306260865	0.690006711649198	0.0016569868375061	0.0356989952524311	41.504299110998	2.49613813975649	0.37224502368754	1.2414627181489E-06	5.6443807e-10	0.0083352068126625	0.00281730240384326	38.8125	0.0000176386896875	25.0984963147993	8.48329928576163	1.82879E+17	2.5389E+14	1.06347964212027E+017	3.92888409024481E+016	47.0791386603428		
